Category,Image_URL
قطعات پسیو,https://www.javanelec.com/images/logo_javan.png
نیمه هادی‌‌ها,https://www.javanelec.com/images/javan_electronic.png
محافظ مدار,https://www.javanelec.com/Images/slider1.webp
کانکتور و اتصالات,https://www.javanelec.com/Images/slider2.webp
الکترومکانیکی,https://www.javanelec.com/Images/slider3.webp
ماژول کاربردی,https://www.javanelec.com/Images/Category/Passive Components.webp
جعبه و باکس,https://www.javanelec.com/Images/Category/Semiconductors.webp
ماژول توسعه طراحی,https://www.javanelec.com/Images/Category/Circuit Protection.webp
اتوماسیون صنعتی,https://www.javanelec.com/Images/Category/Connectors.webp
روشنایی و نورپردازی,https://www.javanelec.com/Images/Category/Electromechanical.webp
اپتو الکترونیک,https://www.javanelec.com/Images/Category/Embedded Solutions.webp
قطعات پاور,https://www.javanelec.com/Images/Category/Enclosures.webp
سنسورها,https://www.javanelec.com/Images/Category/Module For Engineering.webp
تست و انداره‌گیری,https://www.javanelec.com/Images/Category/Industrial Automation.webp
مدیریت دما و حرارت,https://www.javanelec.com/Images/Category/LED Lighting.webp
ابزار و لوازم الکترونیکی,https://www.javanelec.com/Images/Category/Optoelectronics.webp
سیم و کابل,https://www.javanelec.com/Images/Category/Power.webp
نرم افزارهای الکترونیک,https://www.javanelec.com/Images/Category/Sensors.webp
,https://www.javanelec.com/Images/Category/Test & Measurement.webp
,https://www.javanelec.com/Images/Category/Thermal Management.webp
,https://www.javanelec.com/Images/Category/Tools & Supplies.webp
,https://www.javanelec.com/Images/Category/Wire & Cable.webp
,https://www.javanelec.com/Images/Category/Softwares.webp
,https://www.javanelec.com/Images/sale_off.webp
,https://www.javanelec.com/Images/banner1-1.webp
,https://www.javanelec.com/Images/banner1-2.webp
,https://www.javanelec.com/Images/banner1-3.webp
,https://www.javanelec.com/Images/new_product.webp
